"Reported_Income","Claimed_Deductions_Pct","Business_Expenses","Charitable_Contributions_Pct","Home_Office_Deduction","Num_Dependents","Amended_Returns","Tax_Credits","Investment_Income_Pct","Income_Variability_Pct","Years_Since_Last_Audit","Occupation","Tax_Adjustment_Amount"
116129,9.8,41456.25,1.3,12436.875,1,0,5264.1284,9.5,8.1,10,"Lawyer",8253
58059,18.5,22518.75,5.3,11755.625,0,0,2148.183,13.3,6.12,15,"Doctor",10785
85894,14.3,29248.5,5.9,8774.55,1,1,4635.5684,7.6,13.34,5,"Doctor",12174
93986,17.5,36305.5,7,10891.65,0,0,4725.51,10.8,16.72,15,"Lawyer",21910
87128,18.1,27794,8.1,8338.2,2,0,5829.0336,8.8,18.32,10,"Real Estate Agent",-2524
71816,15,33751,3.9,10125.3,2,0,3171.48,13.6,17.54,5,"Doctor",-20093
120346,14.5,43233.5,6.6,15970.05,1,0,4170.034,12.5,32.5,3,"Real Estate Agent",272
72160,17,30510,3.9,9153,2,0,6677.44,6.3,12.42,10,"Real Estate Agent",13546
135553,17.9,44244.25,5.6,13273.275,2,0,6609.7974,9.4,11.56,10,"Doctor",27698
73119,14.9,33130.75,3.3,9939.225,1,0,4526.9462,7.7,4.78,10,"Self-Employed",-3388
114146,17.1,40086.5,4.8,12025.95,0,0,5945.7932,15.5,12.5,10,"Self-Employed",7400
143599,19,45201.75,7.5,13560.525,3,1,6203.762,15.3,21.12,3,"Doctor",-5286
33334,18.4,16701.5,5.6,5010.45,1,3,3520.6912,10.3,26.12,10,"Lawyer",12746
66636,21.5,26065,4.2,7819.5,1,0,5712.348,13.5,8.6,3,"Self-Employed",13977
71000,5.5,32218,0.6,9665.4,1,0,3011,0.6,7.14,15,"Real Estate Agent",10342
94079,16.7,34575.75,5.4,10372.725,1,2,4214.2386,14.3,19.52,5,"Self-Employed",7569
66472,15.8,24174,8.8,12252.2,0,2,5042.5152,13.7,16.08,5,"Lawyer",-8964
-4694,11.2,7724.5,3.1,2317.35,3,0,3569.8544,3.6,23.14,5,"Lawyer",23194
1786,11.2,446.5,4.3,133.95,2,0,3125.0064,17.1,6.84,5,"Real Estate Agent",-2130
114603,17.6,40035.75,6.9,12010.725,4,0,5751.0256,10.8,6.52,10,"Lawyer",17511
65801,13.2,31319.25,8.3,14395.775,4,0,3918.1464,5.4,2.16,3,"Self-Employed",16396
21561,13.7,9707.25,3.5,2912.175,0,1,1849.7714,19.8,14.72,5,"Self-Employed",4044
69842,17.5,27940.5,3.9,8382.15,4,0,6089.47,10.3,9.62,10,"Lawyer",9151
111440,20.7,35433,1.5,12129.9,1,0,7349.616,18,18.6,10,"Self-Employed",-7506
131856,25.3,39022,5.4,11706.6,1,0,8856.9136,11,21.2,3,"Lawyer",5222
62086,18.8,25960.5,7.7,9288.15,0,0,3469.4336,9,3.6,3,"Doctor",-889
67282,25,23108.5,5,6932.55,1,1,5348.1,11.7,6.68,10,"Lawyer",5023
22105,21.4,15139.25,6.8,4541.775,1,3,2935.094,17,22.4,10,"Lawyer",-4382
88803,16.7,38816.75,5.2,11645.025,1,0,5281.0202,10.9,20.46,3,"Small Business Owner",174955
55800,16.3,15443,5.7,4632.9,2,0,3473.08,10.3,22.12,10,"Real Estate Agent",9074
88664,24.7,28799,7.1,8639.7,0,0,7577.0016,9.4,19.26,5,"Real Estate Agent",11581
96145,9.9,31887.25,6.3,14566.175,0,0,2356.671,8.6,19.34,0,"Lawyer",7545
106053,15.3,42752.25,1.3,14325.675,1,0,5994.2218,10.9,19.76,5,"Doctor",-10714
56732,16,28602,7.5,8580.6,0,0,5454.424,11.7,6.08,5,"Doctor",9324
90149,3.3,32248.25,5.1,9674.475,1,0,2141.9834,8.8,16.52,0,"Small Business Owner",160961
23490,13.2,9735.5,9.6,5920.65,0,0,2252.136,10.2,34.58,10,"Real Estate Agent",10420
51466,16.7,24242.5,10.1,7272.75,1,0,3808.9644,13.6,23.04,5,"Small Business Owner",127438
49473,0.9,22879.25,3.2,6863.775,4,0,3090.0514,14.3,18.42,15,"Lawyer",8234
2574,16.8,13152.5,8.8,3945.75,1,0,2318.4864,11.2,15.48,5,"Small Business Owner",34447
76084,13.6,29033,5.5,8709.9,2,0,3808.4848,13.1,19.84,15,"Lawyer",3923
81180,17.2,23281,4.3,6984.3,2,0,4207.592,16.5,30,5,"Real Estate Agent",3117
64168,18.6,24605,5.2,7381.5,3,0,4272.0496,15.9,23.16,3,"Real Estate Agent",-535
97745,22.1,41945.25,6.1,12583.575,1,0,6350.329,0.6,6.34,0,"Lawyer",7251
53199,6.6,14945.75,4.8,4483.725,1,0,2939.2268,12.5,22.8,3,"Self-Employed",-5398
33952,15.2,19244,3.2,5773.2,0,2,3711.1408,15,17.5,10,"Real Estate Agent",10276
87985,11.8,39934.25,5.6,11980.275,1,0,5152.446,9.9,5.56,5,"Self-Employed",4794
50658,15.2,20398.5,2.9,6119.55,1,0,2612.0032,7.7,21.38,5,"Small Business Owner",124549
118323,14.4,42105.75,4.8,15631.725,2,0,4484.7024,3.4,9.66,10,"Self-Employed",16672
62057,9.1,23111.25,7.4,8433.375,1,0,1666.4374,6.7,11.28,5,"Doctor",20759
94669,6,35720.25,2.6,10716.075,2,0,3272.028,15,23,3,"Real Estate Agent",-752
84658,25.6,24498.5,4.9,7349.55,1,1,5992.4896,7.6,27.24,3,"Lawyer",12222
51485,8.4,19765.25,6.5,5929.575,3,0,3650.948,9.4,18.26,5,"Doctor",1426
122272,16.4,45913,5.2,18773.9,1,0,5839.5216,14.4,15.36,3,"Small Business Owner",147339
94287,9.5,45005.75,4.3,13501.725,4,0,4762.453,7.2,15.48,5,"Real Estate Agent",-10180
77693,22.5,27297.25,3.3,8189.175,0,1,5058.185,10.8,12.22,10,"Small Business Owner",73082
83297,6.2,32696.25,4.9,9808.875,2,1,1912.8828,3.8,11.02,3,"Lawyer",575
95379,10.6,39913.75,7.9,11974.125,0,0,4217.0348,10,4,5,"Doctor",5494
77695,8.9,28302.75,4.2,8490.825,2,0,2416.971,0,9.9,10,"Self-Employed",-110
-14793,15.3,7029.75,4.3,2108.925,0,0,190.3342,1.2,4.98,15,"Lawyer",-4617
83546,12.5,34670.5,5.6,15401.15,2,1,4700.65,13.9,10.96,10,"Self-Employed",3906
63983,26.9,15995.75,5.4,4798.725,2,1,4281.2854,14.4,13.46,15,"Self-Employed",4861
80557,15,33275.25,8.5,9982.575,0,2,4087.71,17.9,20.96,15,"Real Estate Agent",-1856
92455,21.7,28766.75,8.7,8630.025,0,0,5199.547,9.6,26.44,3,"Lawyer",2342
116992,19.1,39792,2.7,11937.6,4,1,7239.0944,13.7,12.98,5,"Self-Employed",1219
53181,18.4,21684.25,6.3,6505.275,1,0,3684.0608,10.3,4.12,10,"Small Business Owner",126662
114076,17.6,38136,6,14440.8,1,0,6030.4752,9.8,13.12,5,"Self-Employed",21242
85075,16.4,35876.75,5.1,10763.025,0,0,5932.46,5.3,9.42,5,"Doctor",5442
106155,11.4,38148.75,5.5,11444.625,3,1,3766.334,8.1,15.24,10,"Doctor",1732
102622,13.3,33093.5,7,9928.05,1,0,4037.7452,13.6,9.04,10,"Lawyer",10762
96626,17.3,34727.5,6.7,10418.25,2,0,5919.2596,14.2,19.08,10,"Real Estate Agent",7694
43706,2.6,25413.5,2.9,7624.05,2,0,4249.2712,6.2,18.38,15,"Self-Employed",-18735
72294,5.7,30716.5,7.3,10714.95,1,0,3953.1516,11.9,4.76,5,"Lawyer",628
93706,12.9,26139.5,8,7841.85,0,0,5462.6148,11.6,12.64,3,"Lawyer",-3613
46394,5.7,11598.5,6,3479.55,1,0,2049.8916,7.7,3.08,10,"Small Business Owner",61685
58715,15.6,26574.75,0,9472.425,1,1,3738.908,12.3,14.02,15,"Self-Employed",19185
92430,17.4,31283.5,7.9,10885.05,1,0,5272.564,0,19.3,0,"Self-Employed",9143
98045,19.4,36536.25,2,10960.875,2,0,4720.146,12.7,11.38,10,"Small Business Owner",150719
88913,20.6,33797.25,8.2,10139.175,3,0,4822.2156,15.3,12.32,3,"Small Business Owner",69244
48427,17.8,19773.75,4.8,5932.125,1,0,4462.0012,3.8,14.32,3,"Real Estate Agent",3359
42007,17.7,22367.75,3.4,6710.325,1,1,3314.0478,21.9,16.56,5,"Doctor",-4632
120381,16.2,42980.25,1.7,12894.075,3,0,4920.3444,4.4,4.76,0,"Real Estate Agent",-3337
82738,15.2,35504.5,6.9,12151.35,3,0,5761.2352,2.8,14.82,3,"Lawyer",6344
77653,11,29913.25,4.3,8973.975,3,0,3217.366,19.2,7.68,5,"Self-Employed",3229
71373,26.1,23471.25,4.7,7041.375,1,0,5946.6706,8.6,12.94,10,"Lawyer",21029
39170,11,18798.5,5.2,5639.55,2,0,4337.74,9.1,14.14,10,"Real Estate Agent",8896
93360,23.5,27155,4.4,8146.5,2,0,5549.92,19.3,18.52,15,"Self-Employed",5101
68486,19.7,27809.5,2.6,8342.85,2,0,2698.3484,0,0,15,"Self-Employed",8908
69517,25.2,20212.25,0.2,6063.675,1,0,5795.6568,6.4,5.36,5,"Real Estate Agent",21502
103000,18.7,46325,6.7,13897.5,2,0,6008.2,11,9.8,0,"Self-Employed",11437
99653,12.9,25523.25,6.9,7656.975,1,0,5492.0474,3.3,18.22,0,"Lawyer",15986
116763,13.5,38580.75,4.4,11574.225,1,1,4883.601,7.1,11.54,15,"Real Estate Agent",-2609
60715,8.2,35299.75,3.7,10589.925,0,0,2410.726,1.8,0.72,3,"Doctor",1393
94510,20.2,28188.5,7,9956.55,4,0,5865.204,8.3,25.72,3,"Doctor",2136
116733,15.2,34939.25,3.5,10481.775,2,0,5986.6832,3.4,5.86,10,"Lawyer",4862
41676,14.7,10419,6.1,8125.7,2,0,3513.2744,11.7,20.58,15,"Self-Employed",1580
49176,15.4,14697,2.3,4409.1,2,1,2537.6208,8.9,23.66,0,"Doctor",17771
41048,11.8,15038,6.8,6011.4,1,0,4251.7328,6,7,15,"Lawyer",12408
31224,12.9,9875,5.6,2962.5,0,2,2576.5792,17.3,9.82,15,"Lawyer",-985
77399,18.9,31230.75,5,10869.225,3,0,4371.6822,5.8,2.32,10,"Doctor",-6016
94596,21.6,41012,4.5,12303.6,0,1,6277.5472,10,27,0,"Lawyer",3119
111029,15.3,33484.25,7.4,10045.275,1,1,3565.4874,3.4,11.46,3,"Lawyer",13315
106343,16.2,30946.75,7.4,14284.025,1,0,5830.5132,15.7,10.38,3,"Lawyer",4432
44904,16.2,27072,7.6,8121.6,2,0,4335.8896,11.3,4.52,10,"Lawyer",6779
130454,15.9,35261.5,9.8,10578.45,0,0,4347.4372,10.5,8.4,5,"Lawyer",10363
54997,13.8,25493.25,3.7,7647.975,0,0,3171.9172,6.5,13.3,10,"Real Estate Agent",11150
78165,17.9,33401.25,3.1,10020.375,1,0,4187.307,18.7,13.88,10,"Small Business Owner",188344
62332,18.5,35850,9.1,10755,2,0,4771.284,8.3,14.12,5,"Real Estate Agent",-8977
71329,16,30171.25,5.4,9051.375,1,1,6042.528,14.4,27.06,10,"Self-Employed",16820
80646,17.8,26013.5,7.5,7804.05,3,0,4015.9976,9.2,13.98,3,"Self-Employed",9224
78575,12.2,36376.75,5.5,10913.025,1,0,2658.23,11.6,25.74,10,"Doctor",6083
74247,16,20462.75,2.3,6138.825,1,1,3267.904,11.7,5.98,10,"Lawyer",7539
78242,18.1,32291.5,7.2,9687.45,1,1,4944.3604,12.6,21.64,0,"Lawyer",41
60437,14.5,25564.25,6.2,7669.275,4,1,3134.673,12.7,8.28,10,"Doctor",10683
59873,14.4,14968.25,2.6,9490.475,0,2,2898.3424,13.6,20.94,10,"Doctor",12041
25167,12.7,15951.75,4.1,9785.525,0,1,2103.2418,7.3,19.82,15,"Doctor",12587
63530,17.9,27873.5,4.3,8362.05,2,2,3846.374,2,6.7,5,"Small Business Owner",156746
59620,16.3,24986,5.1,7495.8,2,1,4334.612,13.4,23.66,10,"Real Estate Agent",17519
156057,28.4,56724.25,3.9,18517.275,2,0,11094.0376,14,12.2,5,"Lawyer",10117
34137,14.3,16279.25,3.9,6383.775,2,0,3994.3182,10,16,5,"Doctor",3863
79118,15.6,22843.5,5.4,6853.05,0,1,4346.4816,10.3,17.92,3,"Lawyer",11914
